state,state_code,eligible_farmers,fund_transferred,success_rate
ANDAMAN AND NICOBAR ISLANDS,35,13085,12975,99
ANDHRA PRADESH,28,3960665,3915738,99
ARUNACHAL PRADESH,12,82518,82187,100
ASSAM,18,1883371,1883078,100
BIHAR,10,7343330,7342076,100
CHANDIGARH,4,17,0,0
CHHATTISGARH,22,2471906,2469284,100
DELHI,7,10985,10958,100
GOA,30,6246,6241,100
GUJARAT,24,4942177,4922974,100
HARYANA,6,1585176,1579194,100
HIMACHAL PRADESH,2,815001,801062,98
JAMMU AND KASHMIR,1,866801,866309,100
JHARKHAND,20,1830855,1824199,100
KARNATAKA,29,4289886,4147049,97
KERALA,32,2756122,2753167,100
LAKSHADWEEP,31,2178,2178,100
MADHYA PRADESH,23,8207095,8191274,100
MAHARASHTRA,27,9073678,9059433,100
MANIPUR,14,62897,17467,28
MEGHALAYA,17,177184,177133,100
MIZORAM,15,118694,118608,100
NAGALAND,13,182096,182068,100
ODISHA,21,3450279,3440261,100
PUDUCHERRY,34,5507,5434,99
PUNJAB,3,1121173,1120877,100
RAJASTHAN,8,6676447,6544128,98
SIKKIM,11,29952,29892,100
TAMIL NADU,33,2182613,2166082,99
TELANGANA,36,3020681,3008481,100
TRIPURA,16,210390,210333,100
UTTARAKHAND,5,809710,809342,100
UTTAR PRADESH,9,21627908,21604559,100
WEST BENGAL,19,4454542,4452437,100
LADAKH,37,17713,17686,100
The Dadra and Nagar Haveli and  Daman and Diu,38,11675,11648,100
