farmer_id,state,district,land_holding_acres,annual_income,crop,farmer_category,taluka,village
1,Maharashtra,Satara,5.98,114925,Wheat,Medium,Wai,Kikali
2,Maharashtra,Aurangabad,7.32,419360,Sugarcane,Medium,Paithan,Patoda
3,Maharashtra,Raigad,6.93,120269,Soybean,Medium,Mahad,Kamble
4,Maharashtra,Nanded,7.73,474170,Wheat,Medium,Mukhed,Pimpalgaon
5,Maharashtra,Amravati,6.2,353602,Rice,Medium,Achalpur,Pathrot
6,Maharashtra,Raigad,3.82,401181,Cotton,Small,Panvel,Kamothe
7,Maharashtra,Solapur,2.84,202185,Wheat,Small,Barshi,Tadsoundane
8,Maharashtra,Satara,2.91,149977,Wheat,Small,Phaltan,Sakharwadi
9,Maharashtra,Beed,5.93,356083,Rice,Medium,Patoda,Jaulkhed
10,Maharashtra,Nagpur,6.09,79345,Soybean,Medium,Katol,Sawanga
11,Maharashtra,Satara,2.0,305688,Wheat,Small,Wai,Kikali
12,Maharashtra,Nanded,7.01,489529,Wheat,Medium,Mukhed,Honer
13,Maharashtra,Nanded,5.86,422251,Soybean,Medium,Degloor,Kangti
14,Maharashtra,Amravati,4.72,434010,Rice,Small,Chandur,Kurha
15,Maharashtra,Solapur,4.04,311798,Wheat,Small,Pandharpur,Bhalwani
16,Maharashtra,Aurangabad,4.57,381310,Soybean,Small,Paithan,Patoda
17,Maharashtra,Amravati,1.69,228933,Wheat,Small,Achalpur,Paratwada
18,Maharashtra,Amravati,2.03,147406,Cotton,Small,Chandur,Rajura
19,Maharashtra,Nagpur,1.18,361442,Sugarcane,Small,Katol,Dhapewada
20,Maharashtra,Kolhapur,1.65,490437,Cotton,Small,Hatkanangale,Pethvadgaon
21,Maharashtra,Solapur,3.9,357086,Wheat,Small,Pandharpur,Kasegaon
22,Maharashtra,Nashik,4.48,53453,Rice,Small,Unknown,Unknown
23,Maharashtra,Amravati,0.63,152811,Sugarcane,Marginal,Chandur,Rajura
24,Maharashtra,Palghar,6.48,104935,Cotton,Medium,Unknown,Unknown
25,Maharashtra,Kolhapur,2.71,434583,Soybean,Small,Karvir,Shiroli
26,Maharashtra,Nashik,7.34,224442,Rice,Medium,Unknown,Unknown
27,Maharashtra,Palghar,7.76,320472,Cotton,Medium,Unknown,Unknown
28,Maharashtra,Solapur,1.89,65534,Soybean,Small,Barshi,Sukewadi
29,Maharashtra,Pune,3.97,397424,Wheat,Small,Junnar,Narayangaon
30,Maharashtra,Palghar,0.51,86320,Soybean,Marginal,Unknown,Unknown
31,Maharashtra,Beed,4.99,99170,Cotton,Small,Ashti,Dhanora
32,Maharashtra,Kolhapur,5.05,150546,Cotton,Medium,Hatkanangale,Hupari
33,Maharashtra,Raigad,2.36,130201,Wheat,Small,Alibag,Varsoli
34,Maharashtra,Palghar,4.69,284473,Soybean,Small,Unknown,Unknown
35,Maharashtra,Yavatmal,2.19,320784,Soybean,Small,Unknown,Unknown
36,Maharashtra,Pune,1.71,281324,Wheat,Small,Haveli,Wagholi
